event_timestamp,area,bedrooms,mainroad,prediction
"2026-09-04 23:25:00.542791",6000.0,1.0,3.0,5745492.958155763
"2026-09-04 23:51:42.259149",500.2,1.0,1.2,1820940.8876539692
"2026-09-04 23:51:50.885574",500.2,1.0,1.2,1820940.8876539692
"2026-09-05 00:07:44.599820",6000.0,1.0,3.0,5745492.958155763
"2026-09-05 00:08:14.680438",100.2,1.0,1.2,1666221.5790880104
"2026-09-05 00:31:00.692036",1.2,1.0,1.2,1627928.5502179353
"2026-09-05 00:34:36.388479",0.2,1.0,1.2,1627541.7519465205
"2026-09-05 00:34:40.463155",0.2,1.0,1.2,1627541.7519465205
"2026-09-05 00:34:45.996541",0.52,1.0,1.2,1627665.5273933732
"2026-09-05 00:34:57.417323",1000.52,2.0,1.5,3076240.335992363
"2026-09-05 00:35:36.060561",1050.52,2.0,1.5,3095580.2495631077
"2026-09-05 00:37:44.451650",105000000.52,20000.0,10000.5,65843380050.08165
"2026-09-05 00:38:09.700055",105000000.52,20000.0,10000.5,65843380050.08165
"2026-09-05 00:38:12.835009",1050000.52,20000.0,10000.5,25635699736.50303
"2026-09-05 23:13:56.294219",1.52,20.0,10.5,25396284.406910818
"2026-09-05 23:16:27.434704",1.52,20.0,10.5,25396284.406910818
"2026-09-05 23:21:33.603080",1.52,20.0,10.5,25396284.406910818
"2026-09-05 23:24:57.571789",1.52,20.0,10.5,25396284.406910814
"2026-09-05 23:24:57.584576",5400.0,15.0,50.0,63112633.58233586
"2026-09-05 23:24:57.595657",2100.0,40.0,250.25,280834948.9267497
"2026-09-05 23:24:57.604227",0.0,0.0,0.0,-332931.613578924
"2026-09-05 23:26:07.589566",100000000000.0,20.0,10.5,38679852537186.26
"2026-09-05 23:26:07.597725",540.0,15.0,50.0,61232793.983259454
"2026-09-05 23:26:07.605522",21.0,40.0,250.25,280030795.32047814
"2026-09-05 23:26:07.614472",0.0,0.0,0.0,-332931.613578924
"2026-09-05 23:27:57.053909",100000000000.0,20.0,10.5,38679852537186.26
"2026-09-05 23:27:57.063016",540.0,15.0,50.0,61232793.983259454
"2026-09-05 23:27:57.070391",21.0,40.0,250.25,280030795.32047814
"2026-09-05 23:27:57.077847",0.0,0.0,0.0,-332931.613578924
